num,slug,status,gate,correction,rfcRefs
0001,feature-first-package-architecture,Implemented,host-extension,,3
0002,users-authentication,Superseded,new-rfc,yes,5
0003,canonical-user-identity-session-binding,Superseded,new-rfc,yes,1
0004,organizations,Superseded,new-rfc,yes,2
0005,profiles,Implemented,host-extension,,3
0006,rbac,Implemented,new-rfc,,2
0007,media-library,Implemented,rides-accepted,,2
0008,crm-full-port,Implemented,host-extension,,0
0009,cms-page-builder,Implemented,host-extension,yes,0
0010,notifications,Implemented,host-extension,yes,1
0011,knowledge-base-rag,Implemented,host-extension,yes,1
0012,publishing-seo,Implemented,host-extension,,0
0013,sharing,Implemented,host-extension,,1
0014,feature-workflow-surfaces,Implemented,host-extension,,3
0015,workspace-as-tenant-b2b,Implemented,new-rfc,,2
0016,csm-customer-success,Implemented,host-extension,yes,1
0017,forms,Implemented,host-extension,,0
0018,analytics,Implemented,host-extension,,0
0019,email-marketing,Implemented,host-extension,,0
0020,consent-compliance,Implemented,host-extension,,0
0021,comments,Implemented,host-extension,yes,0
0022,marketplace,Implemented,host-extension,,1
0023,executive-assistant-chief-of-staff,Implemented,new-rfc,,6
0024,connections-credential-broker,Implemented,rides-accepted,yes,8
0025,user-agent-orchestration-symmetry,Implemented,host-extension,,2
0026,firebase-email-password-supersede-host-credentials,Implemented,host-extension,,1
0027,cms-front-page-and-always-on-content,Accepted,host-extension,yes,0
0027,connected-content-source-trust,Implemented,rides-accepted,,3
0028,connector-action-governance,Implemented,rides-accepted,,4
0029,assistant-evals-health-indexing,Implemented,rides-accepted,,3
0030,outbound-mcp-client,Accepted,host-extension,,4
0031,agent-profile-and-seeding,Implemented,host-extension,yes,2
0032,work-twin-persona-reconciliation,Implemented,host-extension,,0
0033,work-twin-connector-reachability,Implemented,host-extension,yes,3
0034,external-event-trigger-ingestion,Implemented,rides-accepted,yes,8
0035,async-durable-a2a-tasks,Accepted,new-rfc,yes,5
0036,agent-profile-policy-enforcement,Accepted,host-extension,,1
0037,connector-framework,Accepted,host-extension,yes,3
0038,per-agent-knowledge-memory,Implemented,rides-accepted,yes,4
0039,reviewable-learning-goals-portability-host,Implemented,new-rfc,,5
0040,board-of-advisors,Implemented,new-rfc,yes,5
0041,subject-memory,Implemented,rides-accepted,yes,4
0042,human-knowledge-binding,Implemented,rides-accepted,yes,1
0043,persistent-conversations,Implemented,host-extension,,2
0044,twin-cross-subject-recall,Implemented,host-extension,,0
0045,subject-model,Implemented,host-extension,,2
0046,project-subject,Implemented,host-extension,yes,0
0047,person-as-subject,Implemented,unclassified,,0
0048,cognition-advisor-capability,Implemented,unclassified,,1
0049,kanban-card-assignment-to-people,Implemented,host-extension,yes,0
0050,per-recipient-notification-targeting,Implemented,host-extension,yes,0
0051,a2ui-agent-authored-chat-surfaces,Implemented,host-extension,yes,3
0052,versioned-app-releases-and-migrations,Implemented,host-extension,,0
0053,documents-and-templates,Implemented,new-rfc,yes,5
0054,collaborative-project,Implemented,host-extension,yes,1
0055,host-artifact-type-registry,Implemented,rides-accepted,,2
0056,canvas-launchstudio-to-document,Implemented,host-extension,,0
0057,document-rendering,Implemented,host-extension,yes,1
0058,priority-matrix,Implemented,new-rfc,yes,1
0059,priority-matrix-multi-voter,Implemented,host-extension,,0
0060,priority-matrix-portfolio,Implemented,new-rfc,,0
0061,priority-matrix-federated-portfolio,Implemented,host-extension,,2
0062,federation-enterprise-credentials,Implemented,host-extension,,1
0063,project-write-capability-projection,Accepted,host-extension,yes,0
0064,cms-content-localization,Implemented,rides-accepted,,1
0065,frontend-ui-string-i18n,Implemented,rides-accepted,yes,1
0066,cms-interrupt-backed-editorial-approval,Implemented,host-extension,,0
0067,ai-chat-conversation-run-default,Implemented,host-extension,,1
0068,unified-review-projection,Implemented,new-rfc,,0
0069,chat-artifact-workbench,Implemented,host-extension,,0
0070,quorum-review-policies,Implemented,host-extension,yes,3
0071,chat-ui-state-and-feedback,Implemented,host-extension,,1
0072,ai-workflow-authoring,Implemented,host-extension,yes,1
0073,embeddable-conversation-view,Accepted,host-extension,yes,1
0074,live-review-status-sync,Implemented,new-rfc,,0
0075,hitl-approver-routing,Implemented,new-rfc,,3
0076,enterprise-data-connectors-bigquery-email-draft,Implemented,host-extension,yes,3
0077,data-classification-pii-masking-retention,Implemented,host-extension,yes,0
0078,insights-drafting-agent-suite,Superseded,new-rfc,yes,6
0079,strategic-planning,Implemented,rides-accepted,yes,2
0079,streaming-llm-interactions,Implemented,host-extension,,2
0080,strategy-analyst-and-enrichment,Implemented,rides-accepted,,2
0081,insights-suite-completion,Superseded,host-extension,yes,3
